=== Run 1 ===
Message ID | Bytes | Avg Latency | Num Latencies
ID 210001   | 37    bytes | 4250.98     | 88 latencies
ID 210002   | 736   bytes | 9837.19     | 88 latencies
ID 210003   | 38    bytes | 9867.47     | 88 latencies
ID 220001   | 37    bytes | 4406.99     | 88 latencies
ID 220002   | 736   bytes | 9718.52     | 88 latencies
ID 220003   | 38    bytes | 9898.16     | 88 latencies
ID 230001   | 37    bytes | 4328.80     | 88 latencies
ID 230002   | 736   bytes | 5843.26     | 88 latencies
ID 230003   | 38    bytes | 9801.28     | 88 latencies
ID 240001   | 37    bytes | 3925.85     | 88 latencies
ID 240002   | 736   bytes | 7067.02     | 88 latencies
ID 240003   | 38    bytes | 9885.16     | 88 latencies
ID 250001   | 37    bytes | 4167.89     | 88 latencies
ID 250002   | 736   bytes | 9848.76     | 88 latencies
ID 250003   | 38    bytes | 9804.69     | 88 latencies
ID 260001   | 37    bytes | 4468.01     | 88 latencies
ID 260002   | 736   bytes | 7577.45     | 88 latencies
ID 260003   | 38    bytes | 9895.41     | 88 latencies
ID 270001   | 37    bytes | 4257.93     | 88 latencies
ID 270002   | 736   bytes | 9595.32     | 88 latencies
ID 270003   | 38    bytes | 9896.06     | 88 latencies
ID 280001   | 37    bytes | 3723.83     | 88 latencies
ID 280002   | 736   bytes | 7399.60     | 88 latencies
ID 280003   | 38    bytes | 9361.24     | 88 latencies
ID 290001   | 37    bytes | 4173.47     | 88 latencies
ID 290002   | 736   bytes | 9339.95     | 88 latencies
ID 290003   | 38    bytes | 9910.94     | 88 latencies
ID 300001   | 37    bytes | 4230.39     | 88 latencies
ID 300002   | 736   bytes | 9104.61     | 88 latencies
ID 300003   | 38    bytes | 9415.23     | 88 latencies
ID 310001   | 37    bytes | 3665.03     | 88 latencies
ID 310002   | 736   bytes | 7021.84     | 88 latencies
ID 310003   | 38    bytes | 9815.15     | 88 latencies
ID 320001   | 37    bytes | 3923.36     | 88 latencies
ID 320002   | 736   bytes | 6675.58     | 88 latencies
ID 320003   | 38    bytes | 9874.25     | 88 latencies
ID 330001   | 37    bytes | 3846.86     | 88 latencies
ID 330002   | 736   bytes | 9513.22     | 88 latencies
ID 330003   | 38    bytes | 9897.00     | 88 latencies
ID 340001   | 37    bytes | 4224.28     | 88 latencies
ID 340002   | 736   bytes | 7311.77     | 88 latencies
ID 340003   | 38    bytes | 9884.62     | 88 latencies
ID 350001   | 37    bytes | 4185.68     | 88 latencies
ID 350002   | 736   bytes | 8730.99     | 88 latencies
ID 350003   | 38    bytes | 9552.98     | 88 latencies
ID 360001   | 37    bytes | 3600.44     | 88 latencies
ID 360002   | 736   bytes | 7516.41     | 88 latencies
ID 360003   | 38    bytes | 9889.93     | 88 latencies
ID 370001   | 37    bytes | 4245.39     | 88 latencies
ID 370002   | 736   bytes | 8256.47     | 88 latencies
ID 370003   | 38    bytes | 9626.78     | 88 latencies
ID 380001   | 37    bytes | 3986.99     | 88 latencies
ID 380002   | 736   bytes | 9928.24     | 88 latencies
ID 380003   | 38    bytes | 9896.99     | 88 latencies
ID 390001   | 37    bytes | 4242.77     | 88 latencies
ID 390002   | 736   bytes | 7729.51     | 88 latencies
ID 390003   | 38    bytes | 9897.95     | 88 latencies
ID 400001   | 37    bytes | 4282.75     | 88 latencies
ID 400002   | 736   bytes | 8043.58     | 88 latencies
ID 400003   | 38    bytes | 9884.51     | 88 latencies
ID 410001   | 37    bytes | 4193.01     | 88 latencies
ID 410002   | 736   bytes | 7138.49     | 88 latencies
ID 410003   | 38    bytes | 9862.22     | 88 latencies
ID 420001   | 37    bytes | 4091.38     | 88 latencies
ID 420002   | 736   bytes | 7922.69     | 88 latencies
ID 420003   | 38    bytes | 9322.55     | 88 latencies
ID 430001   | 37    bytes | 3438.05     | 88 latencies
ID 430002   | 736   bytes | 9191.42     | 88 latencies
ID 430003   | 38    bytes | 9885.00     | 88 latencies
ID 440001   | 37    bytes | 3890.08     | 88 latencies
ID 440002   | 736   bytes | 9063.44     | 88 latencies
ID 440003   | 38    bytes | 9873.94     | 88 latencies
ID 450001   | 37    bytes | 4437.53     | 88 latencies
ID 450002   | 736   bytes | 9133.14     | 88 latencies
ID 450003   | 38    bytes | 9786.58     | 88 latencies
ID 460001   | 37    bytes | 4287.44     | 88 latencies
ID 460002   | 736   bytes | 9515.55     | 88 latencies
ID 460003   | 38    bytes | 9705.88     | 88 latencies
ID 470001   | 37    bytes | 4437.99     | 88 latencies
ID 470002   | 736   bytes | 9809.35     | 88 latencies
ID 470003   | 38    bytes | 9889.81     | 88 latencies
ID 480001   | 37    bytes | 3912.80     | 88 latencies
ID 480002   | 736   bytes | 7423.89     | 88 latencies
ID 480003   | 38    bytes | 9895.30     | 88 latencies
ID 490001   | 37    bytes | 4368.42     | 88 latencies
ID 490002   | 736   bytes | 9939.52     | 88 latencies
ID 490003   | 38    bytes | 9865.32     | 88 latencies
ID 500001   | 37    bytes | 3342.38     | 88 latencies
ID 500002   | 736   bytes | 8184.70     | 88 latencies
ID 500003   | 38    bytes | 9873.48     | 88 latencies
ID 510001   | 37    bytes | 3928.44     | 88 latencies
ID 510002   | 736   bytes | 9092.78     | 88 latencies
ID 510003   | 38    bytes | 9891.41     | 88 latencies
ID 520001   | 37    bytes | 4348.51     | 88 latencies
ID 520002   | 736   bytes | 9731.60     | 88 latencies
ID 520003   | 38    bytes | 9745.94     | 88 latencies
ID 530001   | 37    bytes | 3595.25     | 88 latencies
ID 530002   | 736   bytes | 8183.69     | 88 latencies
ID 530003   | 38    bytes | 9465.81     | 88 latencies
ID 540001   | 37    bytes | 4306.84     | 88 latencies
ID 540002   | 736   bytes | 6913.36     | 88 latencies
ID 540003   | 38    bytes | 9855.98     | 88 latencies
ID 550001   | 37    bytes | 4380.20     | 88 latencies
ID 550002   | 736   bytes | 9553.78     | 88 latencies
ID 550003   | 38    bytes | 9885.12     | 88 latencies
ID 560001   | 37    bytes | 4334.70     | 88 latencies
ID 560002   | 736   bytes | 9743.78     | 88 latencies
ID 560003   | 38    bytes | 9821.17     | 88 latencies
ID 570001   | 37    bytes | 4006.12     | 88 latencies
ID 570002   | 736   bytes | 8336.44     | 88 latencies
ID 570003   | 38    bytes | 9293.53     | 88 latencies
ID 580001   | 37    bytes | 4464.99     | 88 latencies
ID 580002   | 736   bytes | 9019.12     | 88 latencies
ID 580003   | 38    bytes | 9803.98     | 88 latencies
ID 590001   | 37    bytes | 4309.97     | 88 latencies
ID 590002   | 736   bytes | 7007.22     | 88 latencies
ID 590003   | 38    bytes | 9870.98     | 88 latencies
ID 600001   | 37    bytes | 3577.41     | 88 latencies
ID 600002   | 736   bytes | 8299.55     | 88 latencies
ID 600003   | 38    bytes | 9533.15     | 88 latencies
ID 610001   | 37    bytes | 4467.49     | 88 latencies
ID 610002   | 736   bytes | 9208.75     | 88 latencies
ID 610003   | 38    bytes | 9610.86     | 88 latencies
ID 620001   | 37    bytes | 3761.80     | 88 latencies
ID 620002   | 736   bytes | 9396.58     | 88 latencies
ID 620003   | 38    bytes | 9354.86     | 88 latencies
ID 630001   | 37    bytes | 4130.20     | 88 latencies
ID 630002   | 736   bytes | 7119.56     | 88 latencies
ID 630003   | 38    bytes | 9828.83     | 88 latencies
ID 640001   | 37    bytes | 4270.01     | 88 latencies
ID 640002   | 736   bytes | 6794.99     | 88 latencies
ID 640003   | 38    bytes | 9827.42     | 88 latencies
ID 650001   | 37    bytes | 3843.61     | 88 latencies
ID 650002   | 736   bytes | 6749.92     | 88 latencies
ID 650003   | 38    bytes | 9674.55     | 88 latencies
ID 660001   | 37    bytes | 3556.33     | 88 latencies
ID 660002   | 736   bytes | 8499.81     | 88 latencies
